Filename,True_Species,Top_Predicted_Species,Top_Prediction_Confidence,Top_Predictions_JSON,Is_Prediction_Correct?,Split,Score_Original,Score_Source0,Score_Source1,Ensemble_Score,Did_Separation_Help?,Score_Source2,Score_Source3,Score_Source4,Run_ID
XC1073356 - Rock Dove - Columba livia,Unknown Bird,Columba livia,0.9996153116226196,"[{""species"": ""Columba livia"", ""confidence"": 0.9996153116226196}, {""species"": ""Engine"", ""confidence"": 0.35963451862335205}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC1073356 - Rock Dove - Columba livia,Unknown Bird,Columba livia,0.9997941851615906,"[{""species"": ""Columba livia"", ""confidence"": 0.9997941851615906}]",No,test,0.0,0.0,,0.0,No,,,,
XC1073356 - Rock Dove - Columba livia,Unknown Bird,Columba livia,0.9997941851615906,"[{""species"": ""Columba livia"", ""confidence"": 0.9997941851615906}]",No,test,0.0,0.0,,0.0,No,,,,
XC306692 - Rock Dove - Columba livia,Unknown Bird,Columba livia,0.9422169923782348,"[{""species"": ""Columba livia"", ""confidence"": 0.9422169923782349}, {""species"": ""Quiscalus mexicanus"", ""confidence"": 0.690790057182312}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC1015857 - Indian Peafowl - Pavo cristatus,Unknown Bird,Pica pica,0.6639701128005981,"[{""species"": ""Pica pica"", ""confidence"": 0.6639701128005981}]",No,test,0.0,0.0,,0.0,No,,,,
XC1009327 - House Crow - Corvus splendens,Unknown Bird,Corvus splendens,0.914402425289154,"[{""species"": ""Corvus splendens"", ""confidence"": 0.914402425289154}]",No,test,0.0,0.0,,0.0,No,,,,
XC1089317 - House Sparrow - Passer domesticus,Unknown Bird,Passer domesticus,0.7371933460235596,"[{""species"": ""Passer domesticus"", ""confidence"": 0.7371933460235596}]",No,test,0.0,0.0,,0.0,No,,,,
XC472110 - Great Crested Grebe - Podiceps cristatus,Unknown Bird,Podiceps cristatus,0.999280035495758,"[{""species"": ""Podiceps cristatus"", ""confidence"": 0.9992800354957581}, {""species"": ""Haematopus ostralegus"", ""confidence"": 0.8310458660125732}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.965201735496521,"[{""species"": ""Corvus splendens"", ""confidence"": 0.965201735496521}, {""species"": ""Acridotheres tristis"", ""confidence"": 0.756242036819458}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.9694420099258424,"[{""species"": ""Corvus splendens"", ""confidence"": 0.9694420099258423}, {""species"": ""Power tools"", ""confidence"": 0.4359673261642456}, {""species"": ""Acridotheres tristis"", ""confidence"": 0.6050390005111694}, {""species"": ""Human non-vocal"", ""confidence"": 0.5546571612358093}]",No,test,0.0,0.0,0.0,0.0,No,0.0,0.0,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.965201735496521,"[{""species"": ""Corvus splendens"", ""confidence"": 0.965201735496521}, {""species"": ""Acridotheres tristis"", ""confidence"": 0.756242036819458}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC935285 - Crested Serpent Eagle - Spilornis cheela,Unknown Bird,Spilornis cheela,0.9944580793380736,"[{""species"": ""Spilornis cheela"", ""confidence"": 0.9944580793380737}, {""species"": ""Psilopogon duvaucelii"", ""confidence"": 0.7265126705169678}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC414667 - Soundscape,Unknown Bird,Mixornis gularis,0.9527897834777832,"[{""species"": ""Mixornis gularis"", ""confidence"": 0.9527897834777832}, {""species"": ""Copsychus malabaricus"", ""confidence"": 0.8592604398727417}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC565806 - Soundscape,Unknown Bird,Lyrurus tetrix,0.8963592052459717,"[{""species"": ""Lyrurus tetrix"", ""confidence"": 0.8963592052459717}, {""species"": ""Gavia arctica"", ""confidence"": 0.9520167708396912}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.9694420099258424,"[{""species"": ""Corvus splendens"", ""confidence"": 0.9694420099258423}, {""species"": ""Power tools"", ""confidence"": 0.4359673261642456}, {""species"": ""Acridotheres tristis"", ""confidence"": 0.6050390005111694}, {""species"": ""Human non-vocal"", ""confidence"": 0.5546571612358093}]",No,test,0.0,0.0,0.0,0.0,No,0.0,0.0,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.965201735496521,"[{""species"": ""Corvus splendens"", ""confidence"": 0.965201735496521}, {""species"": ""Acridotheres tristis"", ""confidence"": 0.756242036819458}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.965201735496521,"[{""species"": ""Corvus splendens"", ""confidence"": 0.965201735496521}, {""species"": ""Acridotheres tristis"", ""confidence"": 0.756242036819458}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.965201735496521,"[{""species"": ""Corvus splendens"", ""confidence"": 0.965201735496521}, {""species"": ""Acridotheres tristis"", ""confidence"": 0.756242036819458}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.965201735496521,"[{""species"": ""Corvus splendens"", ""confidence"": 0.965201735496521}, {""species"": ""Acridotheres tristis"", ""confidence"": 0.756242036819458}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.9520867466926576,"[{""species"": ""Corvus splendens"", ""confidence"": 0.9520867466926575}]",No,test,0.0,0.0,,0.0,No,,,,
XC1078104 - White-throated Kingfisher - Halcyon smyrnensis perpulchra,Unknown Bird,Halcyon smyrnensis,0.9998699426651,"[{""species"": ""Halcyon smyrnensis"", ""confidence"": 0.9998699426651001}]",No,test,0.0,0.0,,0.0,No,,,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.965201735496521,"[{""species"": ""Corvus splendens"", ""confidence"": 0.965201735496521}, {""species"": ""Acridotheres tristis"", ""confidence"": 0.756242036819458}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC472110 - Great Crested Grebe - Podiceps cristatus,Unknown Bird,Podiceps cristatus,0.999280035495758,"[{""species"": ""Podiceps cristatus"", ""confidence"": 0.9992800354957581}, {""species"": ""Haematopus ostralegus"", ""confidence"": 0.8310458660125732}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC339652 - Asian Koel - Eudynamys scolopaceus,Unknown Bird,Corvus splendens,0.965201735496521,"[{""species"": ""Corvus splendens"", ""confidence"": 0.965201735496521}, {""species"": ""Acridotheres tristis"", ""confidence"": 0.756242036819458}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC809894 - Crested Serpent Eagle - Spilornis cheela,Unknown Bird,Spilornis cheela,0.9952213168144226,"[{""species"": ""Spilornis cheela"", ""confidence"": 0.9952213168144226}, {""species"": ""Hierococcyx varius"", ""confidence"": 0.5932084918022156}]",No,test,0.0,0.0,0.0,0.0,No,,,,
XC809894 - Crested Serpent Eagle - Spilornis cheela,Unknown Bird,Spilornis cheela,0.9937962293624878,"[{""species"": ""Spilornis cheela"", ""confidence"": 0.9937962293624878}]",No,test,0.0,0.0,,0.0,No,,,,
